"ruleId","type","fieldId","description","noticeId (null means all)","condition","expression","target","severity","codeListId","codeListParentId"
"BR-BT-00071-0102","value_check","BT-71-Lot","The BT-71-Lot Reserved Participation must contain one of the values of the code list reserved-procurement.","NULL","NULL","NULL","all","ERROR","reserved-procurement","NULL"
"BR-BT-00079-0052","value_check","BT-79-Lot","The BT-79-Lot Performing Staff Qualification must contain one of the values of the code list requirement-stage.","NULL","NULL","NULL","all","ERROR","requirement-stage","NULL"
"BR-BT-00097-0051","value_check","BT-97-Lot","The BT-97-Lot Submission Language must contain one of the values of the code list language.","NULL","NULL","NULL","all","ERROR","eforms-language","language"
"BR-BT-00105-0052","value_check","BT-105-Procedure","The BT-105-Procedure Procedure Type must contain one of the values of the code list procurement-procedure-type.","NULL","NULL","NULL","all","ERROR","procurement-procedure-type","NULL"
"BR-BT-00106-0052","value_check","BT-106-Procedure","The BT-106-Procedure Procedure Accelerated must contain one of the values of the code list accelerated-procedure.","NULL","NULL","NULL","all","ERROR","accelerated-procedure","NULL"
"BR-BT-00136-0052","value_check","BT-136-Procedure","The BT-136-Procedure Direct Award Justification Code must contain one of the values of the code list direct-award-justification.","NULL","NULL","NULL","all","ERROR","direct-award-justification","NULL"
"BR-BT-00140-0052","value_check","BT-140-notice","The BT-140-notice Change Reason Code must contain one of the values of the code list change-corrig-justification.","NULL","NULL","NULL","all","ERROR","change-corrig-justification","NULL"
"BR-BT-00142-0052","value_check","BT-142-LotResult","The BT-142-LotResult Winner Chosen must contain one of the values of the code list winner-selection-status.","NULL","NULL","NULL","all","ERROR","winner-selection-status","NULL"
"BR-BT-00144-0052","value_check","BT-144-LotResult","The BT-144-LotResult Not Awarded Reason must contain one of the values of the code list non-award-justification.","NULL","NULL","NULL","all","ERROR","non-award-justification","NULL"
"BR-BT-00165-0052","value_check","BT-165-Organization-Company","The BT-165-Organization-Company Winner Size must contain one of the values of the code list economic-operator-size.","NULL","NULL","NULL","all","ERROR","economic-operator-size","NULL"
"BR-BT-00191-0051","value_check","BT-191-Tender","The BT-191-Tender Country Origin must contain one of the values of the code list country.","NULL","NULL","NULL","all","ERROR","eforms-country","country"
"BR-BT-00195-2752","value_check","BT-195(BT-118)-NoticeResult","The BT-195(BT-118)-NoticeResult Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2753","value_check","BT-195(BT-161)-NoticeResult","The BT-195(BT-161)-NoticeResult Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2754","value_check","BT-195(BT-556)-NoticeResult","The BT-195(BT-556)-NoticeResult Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2755","value_check","BT-195(BT-156)-NoticeResult","The BT-195(BT-156)-NoticeResult Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2756","value_check","BT-195(BT-142)-LotResult","The BT-195(BT-142)-LotResult Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2757","value_check","BT-195(BT-710)-LotResult","The BT-195(BT-710)-LotResult Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2758","value_check","BT-195(BT-711)-LotResult","The BT-195(BT-711)-LotResult Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2759","value_check","BT-195(BT-709)-LotResult","The BT-195(BT-709)-LotResult Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2760","value_check","BT-195(BT-712)-LotResult","The BT-195(BT-712)-LotResult Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2761","value_check","BT-195(BT-144)-LotResult","The BT-195(BT-144)-LotResult Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2762","value_check","BT-195(BT-760)-LotResult","The BT-195(BT-760)-LotResult Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2763","value_check","BT-195(BT-759)-LotResult","The BT-195(BT-759)-LotResult Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2764","value_check","BT-195(BT-171)-Tender","The BT-195(BT-171)-Tender Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2765","value_check","BT-195(BT-193)-Tender","The BT-195(BT-193)-Tender Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2766","value_check","BT-195(BT-720)-Tender","The BT-195(BT-720)-Tender Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2767","value_check","BT-195(BT-162)-Tender","The BT-195(BT-162)-Tender Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2768","value_check","BT-195(BT-160)-Tender","The BT-195(BT-160)-Tender Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2769","value_check","BT-195(BT-163)-Tender","The BT-195(BT-163)-Tender Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2770","value_check","BT-195(BT-191)-Tender","The BT-195(BT-191)-Tender Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2771","value_check","BT-195(BT-553)-Tender","The BT-195(BT-553)-Tender Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2772","value_check","BT-195(BT-554)-Tender","The BT-195(BT-554)-Tender Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
"BR-BT-00195-2773","value_check","BT-195(BT-555)-Tender","The BT-195(BT-555)-Tender Unpublished Identification must contain one of the values of the code list non-publication-identifier.","NULL","NULL","NULL","all","ERROR","non-publication-identifier","NULL"
